Remaining:Alaska;Northwest Territory;Ontario;Western United States;Eastern United States;Venezuela;Brazil; Owned:Central America;Argentina;Peru;,Western United States,-1.0,1.0
Remaining:Alaska;Northwest Territory;Ontario;Western United States;Eastern United States;Venezuela;Brazil; Owned:Central America;Argentina;Peru;,Alaska,-1.0,1.0
Remaining:Alberta;Western United States;Venezuela; Owned:Central America;Brazil;Ontario;Quebec;Eastern United States;,Venezuela,-1.0,1.0
Remaining:Alaska;Northwest Territory;Alberta;Ontario;Quebec;Eastern United States;Venezuela;Peru;Argentina; Owned:Central America;Greenland;,Alberta,-1.0,1.0
Remaining:Eastern United States;Peru;Argentina; Owned:Central America;Greenland;Northwest Territory;Alaska;Quebec;,Argentina,1.0,1.0
Remaining:Peru; Owned:Greenland;Central America;Quebec;Western United States;Alberta;Northwest Territory;,Peru,1.0,1.0
Remaining:Greenland;Quebec;Eastern United States; Owned:Central America;Alberta;Alaska;Western United States;Northwest Territory;,Greenland,-1.0,1.0
Remaining:Alberta; Owned:Brazil;Western United States;Central America;Peru;Venezuela;Northwest Territory;,Alberta,-1.0,1.0
Remaining:Northwest Territory;Greenland;Alberta;Quebec;Eastern United States;Venezuela;Brazil; Owned:Central America;Alaska;Western United States;,Quebec,-1.0,1.0
Remaining:Alaska;Northwest Territory;Quebec;Western United States;Eastern United States; Owned:Central America;Brazil;Venezuela;Alberta;,Quebec,1.0396010000000002,0.96059601
Remaining:Alaska;Alberta;Ontario;Western United States;Argentina; Owned:Central America;Greenland;Quebec;Peru;,Argentina,-1.0,1.0
Remaining:Alaska;Alberta;Ontario;Western United States;Eastern United States;Venezuela;Peru; Owned:Central America;Argentina;Northwest Territory;,Western United States,-1.0,1.0
Remaining:Alaska;Greenland;Ontario;Venezuela;Peru; Owned:Central America;Eastern United States;Northwest Territory;Alberta;,Greenland,-1.0,1.0
Remaining:Northwest Territory;Quebec;Western United States;Eastern United States;Argentina; Owned:Central America;Ontario;Greenland;Peru;,Eastern United States,1.0,1.0
Remaining:Quebec;Venezuela;Argentina; Owned:Central America;Eastern United States;Brazil;Western United States;Alberta;,Argentina,1.0,1.0
Remaining:Brazil; Owned:Greenland;Central America;Alaska;Eastern United States;Peru;Alberta;,Brazil,1.0,1.0
Remaining:Alaska;Alberta;Argentina; Owned:Central America;Ontario;Northwest Territory;Peru;Quebec;,Alberta,-1.0,1.0
Remaining:Central America; Owned:Ontario;Alaska;Quebec;Peru;Alberta;Argentina;,Central America,1.0,1.0
Remaining:Northwest Territory;Alberta;Western United States;Venezuela;Brazil; Owned:Central America;Eastern United States;Greenland;Peru;,Venezuela,1.0,1.0
Remaining:Northwest Territory;Greenland;Alberta;Quebec;Eastern United States; Owned:Brazil;Ontario;Western United States;Peru;,Northwest Territory,-1.0,1.0
Remaining:Northwest Territory;Quebec;Venezuela;Brazil;Argentina; Owned:Central America;Eastern United States;Greenland;Alberta;,Quebec,-1.0,1.0
Remaining:Western United States;Venezuela;Argentina; Owned:Central America;Eastern United States;Quebec;Peru;Northwest Territory;,Western United States,-1.0,1.0
Remaining:Alaska;Northwest Territory;Greenland;Ontario;Quebec;Western United States;Central America;Venezuela;Argentina; Owned:Alberta;Brazil;,Central America,2.99,0.9801
Remaining:Alaska;Northwest Territory;Greenland;Alberta;Eastern United States;Venezuela;Brazil; Owned:Central America;Ontario;Western United States;,Venezuela,-1.0,1.0
Remaining:Quebec; Owned:Brazil;Central America;Alaska;Eastern United States;Western United States;Argentina;,Quebec,-1.0,1.0
Remaining:Alaska;Ontario;Quebec;Western United States;Central America;Peru;Brazil; Owned:Eastern United States;Greenland;Northwest Territory;,Peru,1.0,1.0
Remaining:Northwest Territory;Ontario;Western United States;Venezuela;Argentina; Owned:Central America;Eastern United States;Quebec;Peru;,Argentina,-1.0,1.0
Remaining:Quebec; Owned:Brazil;Central America;Alaska;Eastern United States;Alberta;Argentina;,Quebec,-1.0,1.0
Remaining:Alberta;Ontario;Peru; Owned:Central America;Greenland;Venezuela;Alaska;Quebec;,Ontario,-1.0,1.0
Remaining:Peru; Owned:Brazil;Eastern United States;Alaska;Quebec;Western United States;Alberta;,Peru,-1.0,1.0
Remaining:Eastern United States; Owned:Brazil;Central America;Peru;Alberta;Venezuela;Northwest Territory;,Eastern United States,-1.0,1.0
Remaining:Alberta;Ontario;Western United States;Eastern United States;Venezuela;Brazil;Argentina; Owned:Central America;Northwest Territory;Alaska;,Western United States,-1.0,1.0
Remaining:Northwest Territory;Greenland;Ontario;Quebec;Central America;Venezuela;Brazil; Owned:Alberta;Eastern United States;Argentina;,Ontario,1.0,1.0
Remaining:Northwest Territory;Alberta;Venezuela; Owned:Brazil;Central America;Argentina;Ontario;Greenland;,Alberta,1.0,1.0
Remaining:Alaska;Alberta;Western United States;Eastern United States;Brazil; Owned:Central America;Argentina;Venezuela;Quebec;,Brazil,1.0,1.0
Remaining:Quebec;Eastern United States;Peru; Owned:Central America;Brazil;Argentina;Venezuela;Northwest Territory;,Quebec,-1.0,1.0
Remaining:Ontario;Eastern United States;Venezuela; Owned:Central America;Brazil;Argentina;Alaska;Northwest Territory;,Venezuela,-1.0,1.0
Remaining:Quebec;Western United States;Argentina; Owned:Central America;Brazil;Venezuela;Northwest Territory;Peru;,Western United States,1.0,1.0
Remaining:Argentina; Owned:Brazil;Peru;Central America;Alaska;Western United States;Alberta;,Argentina,1.0,1.0
Remaining:Peru;Brazil;Argentina; Owned:Central America;Greenland;Quebec;Northwest Territory;Alaska;,Argentina,-1.0,1.0
Remaining:Argentina; Owned:Central America;Alaska;Eastern United States;Quebec;Western United States;Northwest Territory;,Argentina,-1.0,1.0
Remaining:Alaska;Northwest Territory;Greenland;Quebec;Eastern United States;Venezuela;Peru;Brazil;Argentina; Owned:Central America;Alberta;,Quebec,0.0,0.99
Remaining:Alaska;Northwest Territory;Greenland;Quebec;Eastern United States;Venezuela;Peru;Brazil;Argentina; Owned:Central America;Alberta;,Venezuela,1.0,1.0
Remaining:Greenland;Alberta;Ontario;Quebec;Western United States;Venezuela;Brazil; Owned:Argentina;Northwest Territory;Peru;,Brazil,-1.0,1.0
Remaining:Alberta;Ontario;Quebec;Western United States;Eastern United States;Central America;Peru; Owned:Brazil;Greenland;Venezuela;,Peru,-1.0,1.0
Remaining:Alberta;Eastern United States;Peru; Owned:Central America;Argentina;Greenland;Venezuela;Ontario;,Alberta,-1.0,1.0
Remaining:Alaska;Northwest Territory;Greenland;Alberta;Quebec;Western United States;Eastern United States;Venezuela;Peru; Owned:Central America;Ontario;,Quebec,1.0,1.0
Remaining:Alaska;Alberta;Argentina; Owned:Central America;Brazil;Eastern United States;Northwest Territory;Western United States;,Alaska,1.0,1.0
Remaining:Northwest Territory; Owned:Central America;Eastern United States;Quebec;Western United States;Alberta;Venezuela;,Northwest Territory,-2.0,0.99
Remaining:Northwest Territory;Alberta;Eastern United States;Venezuela;Peru;Brazil;Argentina; Owned:Central America;Alaska;Western United States;,Venezuela,1.0,1.0
Remaining:Eastern United States;Peru;Argentina; Owned:Central America;Greenland;Venezuela;Alaska;Northwest Territory;,Argentina,-1.0,1.0
Remaining:Northwest Territory;Alberta;Ontario;Quebec;Western United States;Eastern United States;Argentina; Owned:Central America;Brazil;Venezuela;,Quebec,1.0,1.0
Remaining:Northwest Territory; Owned:Ontario;Western United States;Central America;Greenland;Peru;Argentina;,Northwest Territory,-1.0,1.0
Remaining:Peru;Brazil;Argentina; Owned:Central America;Venezuela;Alaska;Western United States;Northwest Territory;,Peru,-1.0,1.0
Remaining:Alaska; Owned:Brazil;Ontario;Central America;Quebec;Venezuela;Northwest Territory;,Alaska,1.0,1.0
Remaining:Northwest Territory;Greenland;Alberta;Ontario;Western United States;Eastern United States;Venezuela; Owned:Central America;Argentina;Peru;,Eastern United States,-1.0,1.0
Remaining:Northwest Territory;Greenland;Alberta;Ontario;Western United States;Eastern United States;Venezuela; Owned:Central America;Argentina;Peru;,Greenland,-1.0,1.0
Remaining:Quebec;Venezuela;Peru;Brazil;Argentina; Owned:Central America;Eastern United States;Alaska;Alberta;,Argentina,-1.0,1.0
Remaining:Alaska;Northwest Territory;Ontario;Eastern United States;Central America;Venezuela;Peru;Brazil;Argentina; Owned:Alberta;Quebec;,Venezuela,1.0,1.0
Remaining:Greenland;Alberta;Brazil; Owned:Central America;Argentina;Venezuela;Northwest Territory;Peru;,Alberta,1.0,1.0
Remaining:Alaska;Alberta;Western United States;Eastern United States;Argentina; Owned:Brazil;Greenland;Venezuela;Quebec;,Alaska,-1.0,1.0
Remaining:Northwest Territory;Greenland;Quebec;Central America;Venezuela; Owned:Alberta;Eastern United States;Argentina;Alaska;,Greenland,1.0,1.0
Remaining:Alaska;Northwest Territory;Greenland;Alberta;Ontario;Quebec;Western United States;Central America;Venezuela;Peru;Argentina; Owned:Brazil;,Peru,-0.99,0.9801
Remaining:Alaska;Northwest Territory;Greenland;Alberta;Ontario;Quebec;Western United States;Central America;Venezuela;Peru;Argentina; Owned:Brazil;,Central America,-1.0,1.0
Remaining:Alaska;Northwest Territory;Greenland;Alberta;Ontario;Quebec;Western United States;Central America;Venezuela;Peru;Argentina; Owned:Brazil;,Quebec,0.0,0.99
Remaining:Alaska;Northwest Territory;Greenland;Alberta;Ontario;Quebec;Western United States;Central America;Venezuela;Peru;Argentina; Owned:Brazil;,Alberta,0.0,0.99
Remaining:Alaska;Northwest Territory;Greenland;Alberta;Ontario;Quebec;Western United States;Central America;Venezuela;Peru;Argentina; Owned:Brazil;,Greenland,-1.0,1.0
Remaining:Alaska;Northwest Territory;Greenland;Alberta;Ontario;Quebec;Western United States;Central America;Venezuela;Peru;Argentina; Owned:Brazil;,Argentina,1.01,0.9801
Remaining:Alaska;Quebec;Venezuela;Peru;Argentina; Owned:Central America;Alberta;Greenland;Northwest Territory;,Peru,-1.0,1.0
Remaining:Northwest Territory;Greenland;Alberta;Quebec;Venezuela; Owned:Central America;Brazil;Ontario;Western United States;,Alberta,1.0,1.0
Remaining:Quebec;Peru;Brazil; Owned:Central America;Argentina;Venezuela;Alaska;Western United States;,Quebec,1.0,1.0
Remaining:Greenland;Alberta;Western United States;Eastern United States;Central America;Venezuela;Peru; Owned:Brazil;Argentina;Alaska;,Central America,1.0,1.0
Remaining:Northwest Territory;Greenland;Ontario;Quebec;Western United States;Eastern United States;Central America;Venezuela;Peru;Brazil;Argentina; Owned:Alberta;,Argentina,0.14673479069900108,0.9320653479069899
Remaining:Western United States;Venezuela;Brazil; Owned:Central America;Eastern United States;Alaska;Alberta;Quebec;,Venezuela,-1.0,1.0
Remaining:Alaska;Northwest Territory;Alberta;Ontario;Quebec;Western United States;Eastern United States; Owned:Central America;Brazil;Venezuela;,Quebec,0.0,0.99
Remaining:Northwest Territory;Ontario;Venezuela; Owned:Central America;Alberta;Argentina;Greenland;Brazil;,Ontario,-1.0,1.0
Remaining:Northwest Territory;Ontario;Argentina; Owned:Central America;Brazil;Alaska;Eastern United States;Quebec;,Northwest Territory,1.0,1.0
